asx_code,company_name,gics_industry_group,ticker_yf,security_type,is_etf
14D,1414 DEGREES LIMITED,Capital Goods,14D.AX,Equity,False
29M,29METALS LIMITED,Materials,29M.AX,Equity,False
T3D,333D LIMITED,Commercial & Professional Services,T3D.AX,Equity,False
TGP,360 CAPITAL GROUP,Financial Services,TGP.AX,Equity,False
TCF,360 CAPITAL MORTGAGE REIT,Not Applic,TCF.AX,Equity,False
TOT,360 CAPITAL REIT,Equity Real Estate Investment Trusts (REITs),TOT.AX,Equity,False
TDO,3D ENERGI LIMITED,Energy,TDO.AX,Equity,False
3PL,3P LEARNING LIMITED..,Consumer Services,3PL.AX,Equity,False
4DX,4DMEDICAL LIMITED,Health Care Equipment & Services,4DX.AX,Equity,False
4DS,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment,4DS.AX,Equity,False
5EA,5E ADVANCED MATERIALS INC.,Materials,5EA.AX,Equity,False
5GN,5G NETWORKS LIMITED.,Software & Services,5GN.AX,Equity,False
88E,88 ENERGY LIMITED,Energy,88E.AX,Equity,False
8CO,8COMMON LIMITED,Software & Services,8CO.AX,Equity,False
8IH,8I HOLDINGS LTD,Financial Services,8IH.AX,Equity,False
ABG,ABACUS GROUP,Equity Real Estate Investment Trusts (REITs),ABG.AX,Equity,False
ASK,ABACUS STORAGE KING,Equity Real Estate Investment Trusts (REITs),ASK.AX,Equity,False
ABX,ABX GROUP LIMITED,Materials,ABX.AX,Equity,False
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED,Consumer Services,AKG.AX,Equity,False
AX8,ACCELERATE RESOURCES LIMITED,Materials,AX8.AX,Equity,False
AX1,ACCENT GROUP LIMITED,Consumer Discretionary Distribution & Retail,AX1.AX,Equity,False
ACS,ACCENT RESOURCES NL,Materials,ACS.AX,Equity,False
ADC,ACDC METALS LTD,Materials,ADC.AX,Equity,False
ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED,Not Applic,ACQ.AX,Fund,False
ACF,ACROW LIMITED,Capital Goods,ACF.AX,Equity,False
ACR,ACRUX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",ACR.AX,Equity,False
ACW,ACTINOGEN MEDICAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",ACW.AX,Equity,False
ATV,ACTIVEPORT GROUP LTD,Software & Services,ATV.AX,Equity,False
AIV,ACTIVEX LIMITED,Materials,AIV.AX,Equity,False
ACU,ACUMENTIS GROUP LIMITED,Real Estate Management & Development,ACU.AX,Equity,False
ACE,ACUSENSUS LIMITED.,Software & Services,ACE.AX,Equity,False
ADH,ADAIRS LIMITED,Consumer Discretionary Distribution & Retail,ADH.AX,Equity,False
1AD,ADALTA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",1AD.AX,Equity,False
ADD,ADAVALE RESOURCES LIMITED,Energy,ADD.AX,Equity,False
ADG,ADELONG GOLD LIMITED,Materials,ADG.AX,Equity,False
ADR,ADHERIUM LIMITED,Health Care Equipment & Services,ADR.AX,Equity,False
AI1,ADISYN LTD,Software & Services,AI1.AX,Equity,False
ADY,ADMIRALTY RESOURCES NL.,Materials,ADY.AX,Equity,False
AD1,ADNEO LIMITED,Media & Entertainment,AD1.AX,Equity,False
ABY,ADORE BEAUTY GROUP LIMITED,Consumer Discretionary Distribution & Retail,ABY.AX,Equity,False
AHL,ADRAD HOLDINGS LIMITED,Automobiles & Components,AHL.AX,Equity,False
ADS,ADSLOT LTD.,Software & Services,ADS.AX,Equity,False
AVM,ADVANCE METALS LIMITED,Materials,AVM.AX,Equity,False
ANO,ADVANCE ZINCTEK LIMITED,Materials,ANO.AX,Equity,False
ABV,ADVANCED BRAKING TECHNOLOGY LTD,Automobiles & Components,ABV.AX,Equity,False
AIH,ADVANCED INNERGY HOLDINGS LIMITED,Class Pend,AIH.AX,Equity,False
AV1,ADVERITAS LIMITED,Software & Services,AV1.AX,Equity,False
ADX,ADX ENERGY LTD,Energy,ADX.AX,Equity,False
AER,AEERIS LTD,Media & Entertainment,AER.AX,Equity,False
AEI,AERIS ENVIRONMENTAL LTD,Commercial & Professional Services,AEI.AX,Equity,False
AIS,AERIS RESOURCES LIMITED,Materials,AIS.AX,Equity,False
AMX,AEROMETREX LIMITED,Commercial & Professional Services,AMX.AX,Equity,False
AFL,AF LEGAL GROUP LTD,Commercial & Professional Services,AFL.AX,Equity,False
AFT,AFG 2023-1 TRUST IN RESPECT OF SERIES 2023-1,Not Applic,AFT.AX,Trust,False
AF4,AFG 2024-1 TRUST IN RESPECT OF SERIES 2024-1,Not Applic,AF4.AX,Trust,False
AF5,AFG 2025-1NC TRUST IN RESPECT OF SERIES 2025-1NC,Not Applic,AF5.AX,Trust,False
A1G,AFRICAN GOLD LTD.,Materials,A1G.AX,Equity,False
AFP,AFT PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",AFP.AX,Equity,False
AGL,AGL ENERGY LIMITED.,Utilities,AGL.AX,Equity,False
AMN,AGRIMIN LIMITED,Materials,AMN.AX,Equity,False
AGR,AGUIA RESOURCES LIMITED,Materials,AGR.AX,Equity,False
AIM,AI-MEDIA TECHNOLOGIES LIMITED,Commercial & Professional Services,AIM.AX,Equity,False
A1M,AIC MINES LIMITED,Materials,A1M.AX,Equity,False
APW,AIMS PROPERTY SECURITIES FUND,Equity Real Estate Investment Trusts (REITs),APW.AX,Fund,False
AGI,AINSWORTH GAME TECHNOLOGY LIMITED,Consumer Services,AGI.AX,Equity,False
AIZ,AIR NEW ZEALAND LIMITED,Transportation,AIZ.AX,Equity,False
ART,AIRTASKER LIMITED,Media & Entertainment,ART.AX,Equity,False
AJL,AJ LUCAS GROUP LIMITED,Capital Goods,AJL.AX,Equity,False
AKO,AKORA RESOURCES LIMITED,Materials,AKO.AX,Equity,False
AUQ,ALARA RESOURCES LIMITED,Materials,AUQ.AX,Equity,False
ALB,ALBION RESOURCES LIMITED,Materials,ALB.AX,Equity,False
ALY,ALCHEMY RESOURCES LIMITED,Materials,ALY.AX,Equity,False
ALC,ALCIDION GROUP LIMITED,Health Care Equipment & Services,ALC.AX,Equity,False
AAI,ALCOA CORPORATION,Materials,AAI.AX,Equity,False
ARN,ALDORO RESOURCES LIMITED,Materials,ARN.AX,Equity,False
AJX,ALEXIUM INTERNATIONAL GROUP LIMITED,Materials,AJX.AX,Equity,False
AAL,ALFABS AUSTRALIA LIMITED,Capital Goods,AAL.AX,Equity,False
1AI,ALGORAE PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",1AI.AX,Equity,False
AQI,ALICANTO MINERALS LIMITED,Materials,AQI.AX,Equity,False
AQX,ALICE QUEEN LIMITED,Materials,AQX.AX,Equity,False
ALK,ALKANE RESOURCES LIMITED,Materials,ALK.AX,Equity,False
AQZ,ALLIANCE AVIATION SERVICES LIMITED,Transportation,AQZ.AX,Equity,False
AXN,ALLIANCE NICKEL LIMITED,Materials,AXN.AX,Equity,False
AGE,ALLIGATOR ENERGY LIMITED,Energy,AGE.AX,Equity,False
ALM,ALMA METALS LIMITED,Energy,ALM.AX,Equity,False
AII,ALMONTY INDUSTRIES INC.,Materials,AII.AX,Equity,False
A4N,ALPHA HPA LIMITED,Materials,A4N.AX,Equity,False
ALQ,ALS LIMITED,Commercial & Professional Services,ALQ.AX,Equity,False
ALR,ALTAIR MINERALS LIMITED,Materials,ALR.AX,Equity,False
AZI,ALTAMIN LIMITED,Materials,AZI.AX,Equity,False
ATC,ALTECH BATTERIES LTD,Materials,ATC.AX,Equity,False
ATH,ALTERITY THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",ATH.AX,Equity,False
AIQ,ALTERNATIVE INVESTMENT TRUST,Not Applic,AIQ.AX,Trust,False
AGH,ALTHEA GROUP HOLDINGS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",AGH.AX,Equity,False
ATT,ALTITUDE MINERALS LTD,Materials,ATT.AX,Equity,False
ALV,ALVO MINERALS LIMITED,Materials,ALV.AX,Equity,False
AMA,AMA GROUP LIMITED,Commercial & Professional Services,AMA.AX,Equity,False
3DA,AMAERO LTD,Capital Goods,3DA.AX,Equity,False
AMO,AMBERTECH LIMITED,Technology Hardware & Equipment,AMO.AX,Equity,False
AMH,AMCIL LIMITED,Not Applic,AMH.AX,Equity,False
AMC,AMCOR PLC,Materials,AMC.AX,Equity,False
ARR,AMERICAN RARE EARTHS LIMITED,Materials,ARR.AX,Equity,False
AMU,AMERICAN URANIUM LTD,Materials,AMU.AX,Equity,False
AW1,AMERICAN WEST METALS LIMITED,Materials,AW1.AX,Equity,False
AL3,AML3D LIMITED,Capital Goods,AL3.AX,Equity,False
AOV,AMOTIV LIMITED,Automobiles & Components,AOV.AX,Equity,False
AMP,AMP LIMITED,Financial Services,AMP.AX,Equity,False
ATX,AMPLIA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",ATX.AX,Equity,False
AEL,AMPLITUDE ENERGY LIMITED,Energy,AEL.AX,Equity,False
ALD,AMPOL LIMITED,Energy,ALD.AX,Equity,False
AN1,ANAGENICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",AN1.AX,Equity,False
ANR,ANATARA LIFESCIENCES LTD,"Pharmaceuticals, Biotechnology & Life Sciences",ANR.AX,Equity,False
ANX,ANAX METALS LIMITED,Materials,ANX.AX,Equity,False
ASL,ANDEAN SILVER LIMITED,Materials,ASL.AX,Equity,False
ADN,ANDROMEDA METALS LIMITED,Materials,ADN.AX,Equity,False
ATM,ANEKA TAMBANG (PERSERO) TBK (PT),Materials,ATM.AX,Equity,False
AF2,ANGLE ASSET FINANCE - RADIAN TRUST 2025-1,Not Applic,AF2.AX,Trust,False
ANN,ANSELL LIMITED,Health Care Equipment & Services,ANN.AX,Equity,False
ASN,ANSON RESOURCES LIMITED,Materials,ASN.AX,Equity,False
AM5,ANTARES METALS LIMITED,Materials,AM5.AX,Equity,False
ADO,ANTEOTECH LTD,"Pharmaceuticals, Biotechnology & Life Sciences",ADO.AX,Equity,False
AVR,ANTERIS TECHNOLOGIES GLOBAL CORP.,Health Care Equipment & Services,AVR.AX,Equity,False
AAU,ANTILLES GOLD LIMITED,Materials,AAU.AX,Equity,False
AZY,ANTIPA MINERALS LIMITED,Materials,AZY.AX,Equity,False
ANZ,ANZ GROUP HOLDINGS LIMITED,Banks,ANZ.AX,Equity,False
APA,APA GROUP,Utilities,APA.AX,Equity,False
AP2,APA INFRASTRUCTURE LIMITED,Not Applic,AP2.AX,Equity,False
APC,APC MINERALS LIMITED,Materials,APC.AX,Equity,False
AHX,APIAM ANIMAL HEALTH LIMITED,Health Care Equipment & Services,AHX.AX,Equity,False
AON,APOLLO MINERALS LIMITED,Materials,AON.AX,Equity,False
AO2,APOLLO SERIES 2017-2 TRUST,Not Applic,AO2.AX,Trust,False
AO3,APOLLO SERIES 2018-1 TRUST,Not Applic,AO3.AX,Trust,False
APX,APPEN LIMITED,Software & Services,APX.AX,Equity,False
AQN,AQUIRIAN LIMITED,Commercial & Professional Services,AQN.AX,Equity,False
ARU,ARAFURA RARE EARTHS LTD,Materials,ARU.AX,Equity,False
ARB,ARB CORPORATION LIMITED.,Automobiles & Components,ARB.AX,Equity,False
ARC,ARC FUNDS LIMITED,Financial Services,ARC.AX,Fund,False
AM7,ARCADIA MINERALS LIMITED,Materials,AM7.AX,Equity,False
AXE,ARCHER MATERIALS LIMITED,Semiconductors & Semiconductor Equipment,AXE.AX,Equity,False
AR9,ARCHTIS LIMITED,Software & Services,AR9.AX,Equity,False
ARL,ARDEA RESOURCES LIMITED,Materials,ARL.AX,Equity,False
ADV,ARDIDEN LTD,Materials,ADV.AX,Equity,False
ARF,ARENA REIT.,Equity Real Estate Investment Trusts (REITs),ARF.AX,Equity,False
AGN,ARGENICA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",AGN.AX,Equity,False
RGT,ARGENT BIOPHARMA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",RGT.AX,Equity,False
ARD,ARGENT MINERALS LIMITED,Materials,ARD.AX,Equity,False
ALI,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,Not Applic,ALI.AX,Equity,False
ARG,ARGO INVESTMENTS LIMITED,Not Applic,ARG.AX,Equity,False
AGY,ARGOSY MINERALS LIMITED,Materials,AGY.AX,Equity,False
ARA,ARIADNE AUSTRALIA LIMITED,Commercial & Professional Services,ARA.AX,Equity,False
AA2,ARIANA RESOURCES PLC,Materials,AA2.AX,Equity,False
ARI,ARIKA RESOURCES LIMITED,Materials,ARI.AX,Equity,False
ALL,ARISTOCRAT LEISURE LIMITED,Consumer Services,ALL.AX,Equity,False
AHK,ARK MINES LIMITED,Materials,AHK.AX,Equity,False
A1N,ARN MEDIA LIMITED,Media & Entertainment,A1N.AX,Equity,False
ARX,AROA BIOSURGERY LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",ARX.AX,Equity,False
ALA,AROVELLA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",ALA.AX,Equity,False
AMD,ARROW MINERALS LTD,Materials,AMD.AX,Equity,False
ARV,ARTEMIS RESOURCES LIMITED,Materials,ARV.AX,Equity,False
ATG,ARTICORE GROUP LIMITED,Consumer Discretionary Distribution & Retail,ATG.AX,Equity,False
AYA,ARTRYA LIMITED,Health Care Equipment & Services,AYA.AX,Equity,False
AAJ,ARUMA RESOURCES LIMITED,Materials,AAJ.AX,Equity,False
AS1,ASARA RESOURCES LIMITED,Materials,AS1.AX,Equity,False
AFA,ASF GROUP LIMITED,Financial Services,AFA.AX,Equity,False
ASH,ASHLEY SERVICES GROUP LIMITED,Commercial & Professional Services,ASH.AX,Equity,False
AZ9,ASIAN BATTERY METALS PLC,Materials,AZ9.AX,Equity,False
ATB,ASIAN DEVELOPMENT BANK,Not Applic,ATB.AX,Equity,False
AS2,ASKARI METALS LIMITED,Materials,AS2.AX,Equity,False
APZ,ASPEN GROUP,Equity Real Estate Investment Trusts (REITs),APZ.AX,Equity,False
ASP,ASPERMONT LIMITED.,Media & Entertainment,ASP.AX,Equity,False
