nasdaq_code,ticker_yf,company_name,security_type,is_etf
AAPL,AAPL,Company AAPL,Equity,False
MSFT,MSFT,Company MSFT,Equity,False
GOOGL,GOOGL,Company GOOGL,Equity,False
AMZN,AMZN,Company AMZN,Equity,False
TSLA,TSLA,Company TSLA,Equity,False
META,META,Company META,Equity,False
NVDA,NVDA,Company NVDA,Equity,False
INTC,INTC,Company INTC,Equity,False
AMD,AMD,Company AMD,Equity,False
PYPL,PYPL,Company PYPL,Equity,False
CMCSA,CMCSA,Company CMCSA,Equity,False
TXN,TXN,Company TXN,Equity,False
NKE,NKE,Company NKE,Equity,False
QCOM,QCOM,Company QCOM,Equity,False
ADBE,ADBE,Company ADBE,Equity,False
NFLX,NFLX,Company NFLX,Equity,False
CRM,CRM,Company CRM,Equity,False
T,T,Company T,Equity,False
UNP,UNP,Company UNP,Equity,False
HON,HON,Company HON,Equity,False
