nyse_code,ticker_yf,company_name,security_type,is_etf
AAPL,AAPL,Company AAPL,Equity,False
MSFT,MSFT,Company MSFT,Equity,False
GOOGL,GOOGL,Company GOOGL,Equity,False
AMZN,AMZN,Company AMZN,Equity,False
TSLA,TSLA,Company TSLA,Equity,False
META,META,Company META,Equity,False
NVDA,NVDA,Company NVDA,Equity,False
BRK-B,BRK-B,Company BRK-B,Equity,False
UNH,UNH,Company UNH,Equity,False
JNJ,JNJ,Company JNJ,Equity,False
V,V,Company V,Equity,False
PG,PG,Company PG,Equity,False
JPM,JPM,Company JPM,Equity,False
XOM,XOM,Company XOM,Equity,False
HD,HD,Company HD,Equity,False
CVX,CVX,Company CVX,Equity,False
MA,MA,Company MA,Equity,False
PFE,PFE,Company PFE,Equity,False
ABBV,ABBV,Company ABBV,Equity,False
BAC,BAC,Company BAC,Equity,False
KO,KO,Company KO,Equity,False
AVGO,AVGO,Company AVGO,Equity,False
PEP,PEP,Company PEP,Equity,False
TMO,TMO,Company TMO,Equity,False
COST,COST,Company COST,Equity,False
WMT,WMT,Company WMT,Equity,False
MRK,MRK,Company MRK,Equity,False
ABT,ABT,Company ABT,Equity,False
ACN,ACN,Company ACN,Equity,False
DHR,DHR,Company DHR,Equity,False
VZ,VZ,Company VZ,Equity,False
ADBE,ADBE,Company ADBE,Equity,False
NFLX,NFLX,Company NFLX,Equity,False
